"序号","国名","设馆日期","总领事英文名","总领事中文名","领区","馆址","邮政编码","联系电话","传真"
"39","马里","2011.07.18","Alima Danfakha Gakou","艾丽玛·丹法卡·加库","粤闽琼桂","广州市天河区天河路228号广晟大厦2201室","510620","38330349","38060452"
"40","乌干达","2011.08.15","SolomonRutega","所罗曼·鲁提嘉","粤闽琼桂","广州市天河区华夏路28号富力盈信大厦28楼2812室","510623","38686506","38686561"
"41","伊朗","2011.12.23","KhalilShirgholami","希尔高拉米","粤闽湘桂","广州市天河区临江大道57号中和广场8B1","510623","83278495","83278491"
"42","土耳其","2012.01.12","MelihBoraKerimoğlu","博拉·卡林奥鲁","粤闽琼桂","广州市天河区临江大道3号发展中心23A","510623","37853093","37853496"
"43","斯里兰卡","2012.03.27","Tapaswarage Priyangika Dharmasena","达马森娜","粤闽琼桂赣","广州市越秀区环市东路368号花园酒店M02","510064","83652857","83652857"
"44","乌克兰","2012.05.30","Nemyria Maksym","涅米利亚·马克西姆（领事，代总领事）","粤黔琼湘桂","广州市天河区天河北路233号中信广场1407室","510613","38773755","38773513"
"45","老挝","2013.09.23","Somlith Khantivong","索姆立·坎迪翁","粤琼赣闽","广州市越秀区环市东路339号广东国际大厦主楼1103室","510098","83340710","83327306"
"46","秘鲁","2013.10.02","Ivan Alexander Silva Rivera ","伊万·亚历山大·席尔瓦·里维拉(领事，代馆长)","粤桂黔琼滇湘","广州市天河区珠江西路5号广州国际金融中心3201","510623","66311810","66311804"
"47","吉尔吉斯斯坦","2014.04.08","Orusbaev Iskender Abdykadyrovich","总领事","粤闽赣湘琼桂","广州市天河区天河路228号广晟大厦707室","510620","38013875","38013472"
"48","尼日利亚","2014.07.09","Shakirundeen Adewale Oloko","奥罗寇","粤桂琼","广州市天河区天河路228号广晟大厦902-03室","510620","85219781","85219285"
"49","科特迪瓦","2014.07.12","TobokoueKoyemanFrancois","多博库·考耶曼·弗朗索瓦","粤闽琼赣桂","广州市天河区华夏路16号富力盈凯广场1011、1012","510623","38368416","38368415"
"50","刚果（布）","2014.08.15","Ebolo Emmanuel","艾博罗·埃曼纽尔","粤琼闽桂","广州市天河区花城大道68号环球都会广场2407、2408单元","510623","87574052","87574052"
"51","哥伦比亚","2014.12.12","Andres Felipe Vidal Silva","安伟德","粤桂黔滇琼","广州市天河区珠江西路5号广州国际金融中心3612室","510623","88834826","88834829"
"52","安哥拉","2015.11.06","JoaoBaptistadaCosta","若昂·巴蒂斯塔·达科斯塔","粤闽琼桂","广州市天河区林和西路1号广州国际贸易中心6楼02单元","510610","无固话","85165417"
